,id,dp.pt,dp.pp,dp.l,ar.pt,ar.l,ar.wings,dp.wings
0,-770764286954243101-2303140006-1,2303140006,5,8,,,,
1,7378593961214295320-2303132140-21,,,,2303140027,RB31,,
2,-71796827430049006-2303140011-1,2303140011,6A-C,81,,,,
3,-3970723350205974760-2303140057-1,2303140057,11,RB41,,,,
4,5084834081299892186-2303132336-9,,,,2303140020,81,,
5,5575186578699553736-2303140016-7,,,,2303140050,81,,
6,-5610966871480323789-2303132312-15,,,,2303140047,RB41,,
7,4527502747804446727-2303132230-6,,,,2303140032,,,
8,-72395636281014700-2303140036-1,2303140036,7A-D,1,,,,
9,-6343647441292652630-2303140033-1,2303140033,11,RB31,,,,
10,-5040855886902453859-2303131528-16,,,,2303140015,,,
11,-7986460637224427516-2303140041-1,2303140041,6A-C,81,,,,
0,436096027952993164-2303131659-18,,,,2303140137,,,
1,7454363727815266449-2303140020-4,,,,2303140102,8,,
2,4760651137475633059-2303132359-13,,,,2303140109,RB31,,
3,-2677087939388563746-2303140100-4,,,,2303140157,8,,
4,-2931579395362521098-2303140106-1,2303140106,11,8,,,,
0,9034693412834794181-2303140425-5,,,,2303140450,81,,
1,4518814974506885933-2303140441-1,2303140441,8,81,,,,
2,9011218217436282603-2303140346-10,,,,2303140444,RB41,,
3,3912172823124337390-2303140457-1,2303140457,11,RB41,,,,
4,4413794860031017446-2303140433-1,2303140433,11,RB31,,,,
0,7828355571693801041-2303140506-1,2303140506,8,8,,,,
1,-4204938752686762051-2303140516-7,,,,2303140550,81,,
2,-810019226678636451-2303140438-5,,,,2303140525,80,,
3,8104519730754987199-2303140436-9,,,,2303140521,81,,
4,6057671368361283681-2303140350-16,,,,2303140518,1,,
5,-3431387958325342246-2303140408-13,,,,2303140521,RB31,,
6,8087269623134229559-2303140511-1,2303140511,6A-C,81,,,,
7,-136988301780956592-2303140545-1,2303140545,14,,,,,
8,-5313238544029036850-2303140558-1,2303140558,11,RE4,,,,
9,-7877843962657609673-2303140510-4,,,,2303140553,8,,
10,4196897362257232410-2303140515-1,2303140515,13,,,,,
11,5099391762562748347-2303140537-1,2303140537,12,RB41,,,,
12,-7724814054650193089-2303140511-1,2303140511,11,1,,,,
13,-4531176815226299601-2303140534-1,2303140534,6A-C,80,,,,
14,3903104814810598784-2303140541-1,2303140541,6D-E,81,,,,
15,8758735557394662172-2303140542-1,2303140542,11D-F,RE3,,,,
16,-8389170061218175037-2303140501-7,,,,2303140557,RE3,,
17,-655443310011398117-2303140527-1,2303140527,8,,,,,
0,-6003301370266294042-2303140621-1,2303140621,7A-D,1,,,,
1,5049160830677505746-2303140637-1,2303140637,12,RB41,,,,
2,-698083352790392638-2303140611-1,2303140611,6A-C,81,,,,
3,844999617633169979-2303140601-1,2303140601,11,,,,,
4,1755865838138603429-2303140634-1,2303140634,6A-C,80,,,,
5,352569221385672387-2303140606-1,2303140606,5,8,,,,
6,635156796628650000-2303140536-9,,,,2303140620,81,,
7,1404018334054694699-2303140618-1,2303140618,12,,,,,
8,-5254998360538564707-2303140528-8,,,,2303140645,RE4,,
9,-8303607930756404972-2303140641-1,2303140641,6D-E,81,,,,
10,-6961852970408451758-2303140616-7,,,,2303140650,81,,
11,823488902044315666-2303140610-4,,,,2303140653,8,,
12,6183801689417187664-2303140538-5,,,,2303140625,80,,
13,-8594749958192812225-2303140532-10,,,,2303140621,RB31,,
14,-3492731389100750470-2303140611-1,2303140611,11,,,,,
15,-4970238895119907177-2303140651-1,2303140651,14,RE3,,,,
16,1273081990742197177-2303140633-1,2303140633,14,RB31,,,,
17,3087725302526898449-2303140452-16,,,,2303140626,1,,
18,8503777394879306018-2303132324-19,,,,2303140650,,,
19,-1906309101737004298-2303140458-15,,,,2303140628,RB41,,
0,-3541038362100725228-2303140737-1,2303140737,14D-F,RB41,,,,
1,-8254610297767882258-2303140632-10,,,,2303140720,RB31,,
2,-1650039227630339781-2303140706-1,2303140706,6A-C,8,,,,
3,-135934637287446585-2303140558-15,,,,2303140726,RB41,,
4,-1412234408698859525-2303140701-1,2303140701,13,,,,,
5,5926379620860043859-2303140638-5,,,,2303140725,80,,
6,3119815850397800818-2303140520-6,,,,2303140725,,,
7,-6026100001913276581-2303140605-7,,,,2303140703,RE3,,
8,-7403540165833005095-2303140636-9,,,,2303140720,81,,
9,9187069913125093403-2303140725-1,2303140725,7A-D,1,,,,
10,4444191826229498762-2303140716-7,,,,2303140750,81,,
11,3280771685323636681-2303140723-1,2303140723,11,,,,,
12,8548092139598032876-2303140715-1,2303140715,14,RE4,,,,
13,-4102295084184938789-2303140733-1,2303140733,14A-C,RB31,,,,
14,1980048163959817893-2303140710-4,,,,2303140753,8,,
15,-7487415778751696930-2303140735-1,2303140735,11,,,,,
16,-3686485520867443031-2303140734-1,2303140734,5,80,,,,
17,-6478930024086118346-2303140508-19,,,,2303140738,1,,
18,-1189483806781971425-2303140549-13,,,,2303140734,5,,
19,-604689867798039057-2303140757-1,2303140757,14,RE3,,,,
20,-2869043409415062519-2303140711-1,2303140711,5,81,,,,
21,-8119704575230013689-2303140626-8,,,,2303140743,RE4,,
22,-4235291842238137267-2303140745-1,2303140745,13,,,,,
0,-5025476155296310346-2303140837-1,2303140837,13D-F,RB41,,,,
1,7967189411430494911-2303140821-1,2303140821,7A-D,1,,,,
2,1235622964461153188-2303140616-5,,,,2303140825,,,
3,-4384548506268273312-2303140857-1,2303140857,13,RE3,,,,
4,-1151538930163409874-2303140816-7,,,,2303140849,81,,
5,2391263452755635645-2303140841-1,2303140841,11D-F,,,,,
6,5528127910402130431-2303140811-1,2303140811,5,81,,,,
7,1240458014970414586-2303140810-4,,,,2303140852,8,,
8,-1656742390364091013-2303140732-10,,,,2303140821,RB31,,
9,5795328241854656879-2303140658-15,,,,2303140826,RB41,,
10,-1822966271854478829-2303140358-15,,,,2303140833,,,
11,-5662736199970606978-2303140845-1,2303140845,12,,,,,
12,2372655119424244499-2303140806-1,2303140806,6A-C,8,,,,
13,6533056364528985396-2303140738-5,,,,2303140825,80,,
14,4733426678694405219-2303140704-7,,,,2303140803,RE3,,
15,6624010953416104632-2303140655-16,,,,2303140834,1,,
16,-2275836909676922659-2303140733-6,,,,2303140843,RE4,,
17,-4966898132615481032-2303140833-1,2303140833,13A-C,RB31,,,,
18,-8807422335548759808-2303140834-1,2303140834,7A-D,80,,,,
19,-6812705754883244725-2303140815-1,2303140815,13,RE4,,,,
20,-1275104846797668518-2303140736-9,,,,2303140820,81,,
21,-5637273003019273937-2303140800-1,2303140800,11,,,,,
0,1007082014350364628-2303140833-6,,,,2303140943,RE4,,
1,-7348890688439832548-2303140915-1,2303140915,14,RE4,,,,
2,-3680388747366275612-2303140933-1,2303140933,14A-C,RB31,,,,
3,3504736514239542448-2303140708-19,,,,2303140938,1,,
4,-7544419221773787313-2303140924-1,2303140924,13,,,,,
5,5126111707056373426-2303140500-10,,,,2303140936,,,
6,-5358270556532704414-2303140832-10,,,,2303140922,RB31,,
7,-4788303791955844301-2303140801-7,,,,2303140903,RE3,,
8,-2913939111924380934-2303140937-1,2303140937,14D-F,RB41,,,,
9,-7763829618738350329-2303140904-9,,,,2303140949,81,,
10,-7326556816357160333-2303140934-1,2303140934,6A-C,80,,,,
11,4841511900096808278-2303140906-1,2303140906,6A-C,8,,,,
12,6715975480823292987-2303140616-8,,,,2303140926,,,
13,3278957848508532209-2303140910-4,,,,2303140953,8,,
14,3652971594974738779-2303140936-1,2303140936,8,,,,,
15,1361633804245822835-2303140758-15,,,,2303140926,RB41,,
16,3052352470445208682-2303140957-1,2303140957,14,RE3,,,,
17,519028836622268234-2303140910-1,2303140910,5,81,,,,
18,-2070584927266405083-2303140945-1,2303140945,12,,,,,
19,-7240898703310175045-2303140838-5,,,,2303140925,80,,
0,-5583020922321137037-2303140553-9,,,,2303141022,,,
1,6756492642009796517-2303140901-7,,,,2303141003,RE3,,
2,-7514242339486904362-2303141034-1,2303141034,6A-C,80,,,,
3,4947212557413115565-2303141011-1,2303141011,6D-E,81,,,,
4,2388594952201182816-2303141047-1,2303141047,8,,,,,
5,6843012683697495855-2303141045-1,2303141045,12,,,,,
6,7304792284721401629-2303140932-10,,,,2303141029,RB31,,
7,-8882657082382035783-2303140933-6,,,,2303141043,RE4,,
8,-4229753936075266247-2303140938-5,,,,2303141025,80,,
9,2686007473625185344-2303140001-20,,,,2303141014,,,
10,1918121920534945268-2303141005-9,,,,2303141049,81,,
11,6319438099375576413-2303141024-1,2303141024,14,,,,,
